"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 27 18:47:10 GMT 2022","Mon Jun 27 18:47:10 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Mon Jun 27 18:44:01 GMT 2022","Mon Jun 27 18:44:03 GMT 2022","1769","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"skipped","Mon Jun 27 18:47:10 GMT 2022","Mon Jun 27 18:47:10 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Mon Jun 27 18:47:10 GMT 2022","Mon Jun 27 18:47:10 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"passed","Mon Jun 27 18:44:04 GMT 2022","Mon Jun 27 18:44:10 GMT 2022","6566","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"failed","Mon Jun 27 18:47:10 GMT 2022","Mon Jun 27 18:47:10 GMT 2022","0","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"passed","Mon Jun 27 18:43:59 GMT 2022","Mon Jun 27 18:44:00 GMT 2022","1628","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"passed","Mon Jun 27 18:43:54 GMT 2022","Mon Jun 27 18:43:58 GMT 2022","3822","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
"unknown","Mon Jun 27 18:43:51 GMT 2022","Mon Jun 27 18:43:51 GMT 2022","3","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Mon Jun 27 18:47:10 GMT 2022","Mon Jun 27 18:47:10 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
